거리	강원	인천	부산	서울	경기	경북	울산	제주	전남	충남	전북	대전	세종	광주	대구	경남	충북
강원	0	59.6	252.2	17.4	79.8	47.1	108	292.6	237.1	177.6	159.4	147	119.3	209	183.9	159.5	139.3
인천	59.6	0	127.3	46.8	83.4	99.2	111	243.3	187.8	128.7	110.1	97.6	75.7	159.7	134.5	110.1	89.9
부산	252.2	127.3	0	166.9	111.1	136.5	72.9	170.6	112.6	122.8	113.2	202.9	181	4100	59.5	20.2	74.5
서울	17.4	46.8	166.9	0	78.3	56.7	114.8	282.7	227.2	168.1	149.5	137	115.1	199	173.9	149.5	129.3
경기	79.8	83.4	111.1	78.3	0	54.3	53.3	227.6	219.6	197.1	178.5	166	144.1	191.5	166.5	108.7	31.6
경북	47.1	99.2	136.5	56.7	54.3	0	64.3	299.5	241.5	216.3	197.7	186.5	164.6	213.4	188.4	95.1	95.1
울산	108	111	72.9	114.8	53.3	64.3	0	236.8	178.8	189	191.5	261.1	247.2	150.7	125.7	96.4	29.3
제주	292.6	243.3	170.6	282.7	227.6	299.5	236.8	0	60.6	252	166.4	244	222.1	77.5	124.5	147.3	252
전남	237.1	187.8	112.6	227.2	219.6	241.5	178.8	60.6	0	43.4	71.2	122.3	113.3	30.4	66.8	89.6	194.3
충남	177.6	128.7	122.8	168.1	197.1	216.3	189	252	43.4	0	31.6	75.6	67.1	43.8	64	99.4	155.5
전북	159.4	110.1	113.2	149.5	178.5	197.7	191.5	166.4	71.2	31.6	0	75.6	67.1	43.8	64	99.4	155.5
대전	147	97.6	202.9	137	166	186.5	261.1	244	122.3	75.6	75.6	0	25.1	136.9	109.6	178.4	175.3
세종	119.3	75.7	181	115.1	144.1	164.6	247.2	222.1	113.3	67.1	67.1	25.1	0	137.9	112.8	157.4	128.6
광주	209	159.7	4100	199	191.5	213.4	150.7	77.5	30.4	43.8	43.8	136.9	137.9	0	37.6	60.4	116.2
대구	183.9	134.5	59.5	173.9	166.5	188.4	125.7	124.5	66.8	64	64	109.6	112.8	37.6	0	32.8	90.5
경남	159.5	110.1	20.2	149.5	108.7	95.1	96.4	147.3	89.6	99.4	99.4	178.4	157.4	60.4	32.8	0	56.3
충북	139.3	89.9	74.5	129.3	31.6	95.1	29.3	252	194.3	155.5	155.5	175.3	128.6	116.2	90.5	56.3	0
