기름값	강원	인천	부산	서울	경기	경북	울산	제주	전남	충남	전북	대전	세종	광주	대구	경남	충북
강원	0	5364	22698	1566	7182	4239	9720	26334	21339	15984	14346	13230	10737	18810	16551	14355	12537
인천	5364	0	11457	4212	7506	8928	9990	21897	16902	11583	9909	8784	6813	14373	12105	9909	8091
부산	22698	11457	0	15021	9999	12285	6561	15354	10134	11052	10188	18261	16290	369000	5355	1818	6705
서울	1566	4212	15021	0	7047	5103	10332	25443	20448	15129	13455	12330	10359	17910	15651	13455	11637
경기	7182	7506	9999	7047	0	4887	4797	20484	19764	17739	16065	14940	12969	17235	14985	9783	2844
경북	4239	8928	12285	5103	4887	0	5787	26955	21735	19467	17793	16785	14814	19206	16956	8559	8559
울산	9720	9990	6561	10332	4797	5787	0	21312	16092	17010	17235	23499	22248	13563	11313	8676	2637
제주	26334	21897	15354	25443	20484	26955	21312	0	5454	22680	14976	21960	19989	6975	11205	13257	22680
전남	21339	16902	10134	20448	19764	21735	16092	5454	0	3906	6408	11007	10197	2736	6012	8064	17487
충남	15984	11583	11052	15129	17739	19467	17010	22680	3906	0	2844	6804	6039	3942	5760	8946	13995
전북	14346	9909	10188	13455	16065	17793	17235	14976	6408	2844	0	6804	6039	3942	5760	8946	13995
대전	13230	8784	18261	12330	14940	16785	23499	21960	11007	6804	6804	0	2259	12321	9864	16056	15777
세종	10737	6813	16290	10359	12969	14814	22248	19989	10197	6039	6039	2259	0	12411	10152	14166	11574
광주	18810	14373	369000	17910	17235	19206	13563	6975	2736	3942	3942	12321	12411	0	3384	5436	10458
대구	16551	12105	5355	15651	14985	16956	11313	11205	6012	5760	5760	9864	10152	3384	0	2952	8145
경남	14355	9909	1818	13455	9783	8559	8676	13257	8064	8946	8946	16056	14166	5436	2952	0	5067
충북	12537	8091	6705	11637	2844	8559	2637	22680	17487	13995	13995	15777	11574	10458	8145	5067	0
