통행료	강원	인천	부산	서울	경기	경북	울산	제주	전남	충남	전북	대전	세종	광주	대구	경남	충북
강원	0	3000	12600	900	4000	2400	5400	14600	11900	8900	8000	7400	6000	12500	9200	8000	7000
인천	3000	0	6400	0	4200	5000	5600	12200	9400	6400	5500	4900	3800	8000	6700	5500	4500
부산	12600	6400	0	8300	5600	6800	3600	8500	5600	6100	5700	10100	9100	10000	3000	1000	3700
서울	900	0	8300	0	3900	2800	5700	14100	11400	8400	7500	6900	5800	10000	8700	7500	6500
경기	4000	4200	5600	3900	0	2700	2700	11400	11000	9900	8900	8300	7200	9600	8300	5400	1600
경북	2400	5000	6800	2800	2700	0	3200	15000	12100	10800	9900	9300	8200	10700	9400	4800	4800
울산	5400	5600	3600	5700	2700	3200	0	11800	8900	9500	9600	13100	12400	7500	6300	4800	1500
제주	14600	12200	8500	14100	11400	15000	11800	0	3000	12600	8300	12200	11100	3900	6200	7400	12600
전남	11900	9400	5600	11400	11000	12100	8900	3000	0	2200	3600	6100	5700	1500	3300	4500	9700
충남	8900	6400	6100	8400	9900	10800	9500	12600	2200	0	1600	3800	3400	2200	3200	5000	600
전북	8000	5500	5700	7500	8900	9900	9600	8300	3600	1600	0	3800	3400	2200	3200	5000	7800
대전	7400	4900	10100	6900	8300	9300	13100	12200	6100	3800	3800	0	0	6800	5500	8900	8800
세종	6000	3800	9100	5800	7200	8200	12400	11100	5700	3400	3400	0	0	6900	5600	7900	6400
광주	10000	8000	10000	10000	9600	10700	7500	3900	1500	2200	2200	6800	6900	0	1900	3000	5800
대구	9200	6700	3000	8700	8300	9400	6300	6200	3300	3200	3200	5500	5600	1900	0	1600	4500
경남	8000	5500	1000	7500	5400	4800	4800	7400	4500	5000	5000	8900	7900	3000	1600	0	2800
충북	7000	4500	3700	6500	1600	4800	1500	12600	9700	600	7800	8800	6400	5800	4500	2800	0
