pu_no	p_no	pu_price	pu_count	coupon	u_no	pu_date
1	39	8000	3	0	1	2021-02-01
31	3	73950	6	2	1	2021-02-24
61	45	8000	5	0	1	2021-03-02
91	52	53000	6	1	1	2021-03-13
121	37	8000	13	0	1	2021-03-21
151	37	8000	3	0	1	2021-03-28
160	37	8000	8	0	1	2021-04-01
182	58	3200	5	0	1	2021-04-02
183	59	3200	64	0	1	2021-04-02
184	60	1000	23	0	1	2021-04-02
185	61	8500	42	0	1	2021-04-02
186	63	8000	53	1	1	2021-04-03
187	58	3200	2	0	1	2021-04-03
188	62	5000	2	0	1	2021-04-03
189	60	1000	3	0	1	2021-04-04
190	68	3000	12	0	1	2021-04-04
191	69	6000	21	0	1	2021-04-04
192	70	6000	6	0	1	2021-04-04
193	71	13000	7	0	1	2021-04-04
194	72	3200	10	0	1	2021-04-04
195	73	4000	12	0	1	2021-04-04
196	79	8000	34	0	1	2021-04-04
197	79	8000	2	0	1	2021-04-05
198	80	1000	3	0	1	2021-04-05
199	81	2000	5	0	1	2021-04-05
200	82	2000	6	0	1	2021-04-05
201	83	11000	12	0	1	2021-04-05
202	92	10000	3	0	1	2021-04-05
203	88	2300	12	0	1	2021-04-05
204	89	5000	23	0	1	2021-04-05
205	93	10000	32	0	1	2021-04-05
206	90	80000	3	0	1	2021-04-05
207	91	70000	4	0	1	2021-04-05
208	67	12000	100	0	1	2021-04-05
2	42	8000	5	0	2	2021-02-01
32	4	23100	8	0	2	2021-02-25
62	46	8000	12	1	2	2021-03-03
92	53	60000	9	0	2	2021-03-13
122	28	3000	9	0	2	2021-03-21
161	28	3000	9	0	2	2021-04-01
3	43	8000	2	0	3	2021-02-01
33	5	15500	9	0	3	2021-02-25
63	47	8000	7	2	3	2021-03-03
93	55	15000	24	0	3	2021-03-14
123	35	5000	7	0	3	2021-03-21
162	35	5000	7	0	3	2021-04-01
4	47	8000	3	0	4	2021-02-02
34	6	25500	10	0	4	2021-02-25
64	20	3000	6	0	4	2021-03-05
94	56	40000	6	1	4	2021-03-14
124	32	6000	8	0	4	2021-03-21
163	32	6000	8	0	4	2021-04-01
5	41	8000	2	0	5	2021-02-02
35	9	14500	9	1	5	2021-02-25
65	21	4000	3	0	5	2021-03-06
95	57	3000	21	0	5	2021-03-14
125	1	33800	5	0	5	2021-03-21
164	1	33800	5	0	5	2021-04-01
