i_No	p_No	i_From	i_To
1	6059	2	27
2	0789	5	37
3	0789	5	48
4	8487	7	22
5	4534	10	42
6	9722	11	14
7	1711	12	3
8	7694	15	8
9	6479	17	30
10	1401	18	43
11	3421	19	35
12	3569	20	1
13	0452	24	18
14	0904	27	60
15	0904	27	29
16	4740	32	57
17	4740	32	35
18	4740	32	39
19	4740	32	23
20	8437	34	14
21	8437	34	37
22	8437	34	10
23	5754	35	11
24	7189	37	13
25	7835	40	51
26	7991	42	60
27	7991	42	4
28	5803	43	11
29	2926	46	21
30	2926	46	50
31	2926	46	15
32	1418	47	44
33	1418	47	29
34	5594	48	8
35	3242	49	7
36	6819	56	18
37	6819	56	17
38	6819	56	2
39	7033	57	44
40	0489	60	27
