p_No	wh_No	p_People	wty_No	m_No	i_No	p_Date	u_No
0452	10	100	8	2	3	2021-05-23	24
0489	15	210	4	2	3	2021-03-22	60
0502	18	140	2	2	3	2020-12-29	1
0789	6	110	4	3	0	2021-03-03	5
0904	19	170	6	3	3	2021-07-19	27
1113	6	100	4	3	1	2021-04-02	26
1129	5	190	1	2	1	2021-01-16	4
1176	37	250	4	3	2	2021-03-29	58
1268	27	220	9	3	3	2021-04-11	22
1401	20	350	7	1	0	2021-01-08	18
1418	10	100	8	2	2	2021-04-04	47
1711	9	110	8	1	1	2021-06-12	12
1929	10	100	8	2	1	2021-02-10	38
2787	39	100	8	2	0	2021-05-22	9
2926	5	360	1	2	2	2021-05-30	46
3013	38	340	3	3	1	2021-05-28	13
3242	35	290	3	2	1	2021-03-01	49
3421	4	230	7	3	3	2021-03-04	19
3569	22	140	4	3	2	2021-05-31	20
3750	33	360	9	1	0	2021-02-02	55
4534	32	340	7	1	0	2021-07-24	10
4566	26	160	9	1	3	2021-02-25	21
4637	6	290	4	3	3	2021-07-18	16
4740	9	130	8	1	3	2021-01-23	32
5028	3	100	2	1	2	2021-04-03	23
5397	4	350	7	3	3	2021-01-16	3
5594	35	190	3	2	1	2021-05-03	48
5754	11	110	6	2	2	2021-05-26	35
5803	34	120	2	3	2	2021-02-02	43
6059	31	110	8	2	3	2021-03-07	2
6115	17	320	2	1	2	2021-02-04	28
6257	12	100	7	3	3	2021-02-06	31
6479	29	150	8	2	3	2021-02-06	17
6761	42	300	5	2	3	2021-02-12	36
6819	38	180	3	3	0	2021-05-16	56
6979	3	100	2	1	2	2021-04-13	8
7033	13	100	3	3	1	2021-05-08	57
7189	27	440	9	3	1	2021-05-09	37
7694	37	240	4	3	3	2020-12-23	15
7835	23	150	1	1	3	2021-08-04	40
7991	32	200	7	1	3	2021-02-16	42
8437	30	280	10	1	3	2021-01-07	34
8487	5	170	1	2	1	2021-03-11	7
9722	39	100	8	2	0	2021-02-07	11
