c_no	c_name	t_no	c_tel	a_no	c_address	c_price
A-001	에이스 강남점	14,2,9,30,19	02-497-3178	3	서초구 사평대로53길 8-1 지하 1층	25000
A-002	에이스 강북점	38,5,35,8,29	02-497-3180	3	강북구 한천로132길 11	25000
A-003	에이스 광주1호점	42,8,20	062-497-3199	16	광산구 임방울대로826번길 47 더시너지첨단 1층 113호	21000
A-004	에이스 광주2호점	32,36,46	062-497-3200	16	동구 서석로 41 상가 123층	21000
A-005	에이스 군산점	39,31,25	063-111-1212	14	군산시 나운동 정보빌딩 102	18000
A-006	에이스 당진점	4,13,9	041-497-3194	5	당진시 신평면 매산해변길 144	20000
A-007	에이스 대구1호점	17,19,24	053-497-3201	10	동구 팔공로 525	21000
A-008	에이스 안동점	26,29,25	053-497-32053	9	안동시 용상동 1179-251	21000
A-009	에이스 대전점	38,40,28	042-497-3192	7	유성구 테크노중앙로 68	20000
A-010	에이스 대학로점	22,36,40,6,28	02-497-3179	3	송파구 백제고분로7길 19	25000
A-011	에이스 동탄점	5,15,8,26,18	031-497-3183	2	화성시 동탄지성로 2 동탄 플래티넘	20000
A-012	에이스 부산점	25,32,47,43,31	051-497-3186	13	기장군 기장읍 기장해안로 98 본다빈치 스퀘어 3F	25000
A-013	에이스 부평점	16,22,21,35	032-497-3190	4	부평구 부평대로32번길 32-1 2층	20000
A-014	에이스 서면점	40,23,20,21,5	051-497-3188	13	부산진구 중앙대로 668 에이원프라자 1층 	25000
A-015	에이스 울산점	27,16,12,29,35	02-497-3182	3	남구 삼산동 남중로 48	20000
A-016	에이스 세종점	1,19,40	044-497-3191	6	달빛로 43 금강빌딩	20000
A-017	에이스 수원	37,22,32,27,21	031-497-3184	2	수원시 영통구 권선로882번길 59	20000
A-018	에이스 순천점	35,25,44	061-497-3195	15	순천시 기적의도서관길 22 	21000
A-019	에이스 시네마점	9,41,19,16,29	02-497-3181	3	은평구 진관동 67-28	25000
A-020	에이스 여수점	9,1,28	061-497-3196	15	여수시 소라면 죽림4길 66-13 1층	21000
A-021	에이스 원주점	29,44,16	033-497-3185	1	원주시 혁신로 35	25000
A-022	에이스 인천점	9,6,16,26,10	032-111-2212	4	미추홀구 미추홀대로722번길 18 	25000
A-023	에이스 제주1호점	44,14,38	064-497-3203	17	제주시 구좌읍 해맞이해안로 1430	25000
A-024	에이스 제주2호점	42,35,38	064-497-3204	17	제주시 애월읍 중산간서로 5534	25000
A-025	에이스 진주점	42,5,7	055-497-3198	11	진주시 가좌안골길6번길 3 2층	21000
A-026	에이스 청주점	47,43,28	043-497-3193	8	청주시 흥덕구 풍년로 76	20000
A-027	에이스 포항점	26,32,38	055-497-3197	11	포항 북구 동해안로 1110	21000
A-028	에이스 해운대점	20,5,15,46	051-497-3187	13	해운대구 달맞이길50번길 16 2층	25000
B-001	브레인 광주1호점	15,25,27	062-497-3172	16	서구 운천로172번길 4 2층	21000
B-002	브레인 광주2호점	2,37,41	062-497-3173	16	북구 우치로110번길 9 1층	21000
B-003	브레인 김제점	34,37	063-547-2121	14	김제시 신적동 우리빌등 101	18000
