n_no	u_no	n_date	n_title	n_content	n_viewcount	n_open
1	5	2021-10-28	많이 무섭나요?	직접 가보고 싶은데 호러는 무섭나요?	0	0
2	3	2021-11-11	에로스의 초대 간단후기	애인이랑 에로스의 초대를 해봤습니다. 생각했던 것보다 할 만 했습니다. 애인이 좋아합니다 강추	786	1
3	4	2021-12-17	그녀를 찾아서 한줄평	별로 안 무섭다길래 도전해봤는데 엄마랑 같이 잤습니다.	0	0
4	1	2021-12-28	폐쇄병동 싫다	폐쇄병동 안 무섭다더니 너무 무섭던데요.. 다른지역은 어떤가요?	425	1
5	9	2022-01-11	초코의 왕 후기	너무 재밌어서 같이 간 친구랑 깔깔 웃다가 나왔습니다. 꼭 해보세요	255	1
6	10	2022-01-13	감성충전 장미맨숀	오랜만에 감성 넘치는 걸 플레이 해봤더니 탈출 후 여운이 오래가네요. 다들 꼭 해보셨으면 합니다.	152	1
7	8	2022-01-18	레드크리스마스 후기	갑툭튀 심해서 공포 못하시는 분들은 비추하고, 저처럼 공포 매니아들은 좋아할 것 같습니다.	389	1
8	7	2022-02-19	스토커 탈출 성공!	어렵고 무섭기로 유명한 스토커를 첫 플레이만에 탈출 성공했습니다. 친구랑 둘이 탈출 했습니다.	825	1
9	2	2022-03-10	여신의 눈물 썸녀랑	썸녀랑 같이 여신의 눈물을 탈출하고 오늘부터 1일입니다. 여신의 눈물 추천해주신분 복 받으세요.	1021	1
10	6	2022-03-21	남친이랑 방탈출 후기	백조의 호수 남친이랑 탈출하면서 한바탕 싸웠습니다. 다른 방탈출 추천 부탁드려요	556	1
11	10	2022-03-29	신세대 놀이방	딸아이가 졸라서 가봤는데, 머리도 쓰고, 협동심도 생기고 자주 애용할듯 합니다.	512	1
12	3	2022-03-02	친구와의 두뇌싸움	친구와 두뇌싸움을 한 기분인데, 풀이도 좋고, 다양한 의견을 나눌수 있어 좋았습니다.	2056	1
13	7	2022-03-29	내겐 너무 쉬운 게임	1단계를 갔는데 20분만에 나왔어요. 고등학생이상은 3단계부터 시작하세요	1533	1
14	10	2022-03-02	자물쇠 고장	자물쇠가 고장나서 문제를 못푼줄 알았어요~~교제해주세요.	1441	1
15	7	2022-03-17	방심금물, 끝없는 의심	끝없이 의심하고, 끝없이 생각하고, 끝없이 도전하라.	1966	1
16	1	2022-03-07	친절한 사장님	처음인데 사장님이 너무 친절히 설명해주셨습니다. 	667	1
17	2	2022-03-30	멋진 직원분	직원분이 너무 친절히 응대하시어, 모르는 부분을 쉽게 힌트를 주셨어요.	108	1
18	4	2021-12-30	누구세요	나를 잊게하는 환상의 시간!!	1624	1
19	4	2022-02-11	감사합니다	좋은 경험이었습니다.	1802	1
20	2	2022-02-12	두뇌싸움	5단계는 두뇌싸움에서 실패하여 40분만에 못풀고 나왔습니다.	1933	1
21	5	2022-03-03	레드 크리스마스 후기	그냥 한 번 쯤 다시 갈 만 할 듯?	775	1
22	2	2022-04-01	마법사의 세계 보고온 썰	해리포터의 마법학교를 다녀온 느낌!!!	1774	1
23	8	2021-12-02	무채색 인간 좀 별로	와 진짜 다른 거 다 재밌는데 이건 ㄹㅇ 노잼임 할 꺼면 다른 거 하세요	1006	1
24	3	2021-10-28	백조의 호수.. 초보자한테 추천	너무 쉬워서 아쉬웠어요	0	0
25	10	2021-12-05	분노의 살인 후기	이름과 걸 맞게 소름끼쳤어요, 이런 거 좋아하시면 한 번 해보세요	755	1
26	3	2022-03-20	빛과 그림자 하고 왔는데..?	생생해서 좋았어요	714	1
27	7	2022-04-01	사라진 다이아몬드 추천	난이도가 높아 집중도가 높고, 열띤 토론과 상의를 할수 있어요.	437	1
28	8	2021-11-21	탈출 후기	50분에 성공~~~, 다음에 높은단계 도전합니다. 	337	1
29	3	2021-11-30	신데렐라	제목이 신데렐라 길래 찐 동화에 나오는 그 신데렐라 줄 알았는데 다른 느낌으로 재밌었어요	586	1
30	6	2021-11-04	가족 no, 친구 yes	가족끼리 갔는데 의견이 분분하여 다툼이 있었습니다. 친구랑 가세요	618	1
31	7	2022-03-05	최상의 서비스	서비스가 너무 좋았어요, 나중에 꼭 다시 올 생각 있어요!	1989	1
32	9	2022-01-04	초코의 왕 후기	진짜 달달한 느낌이라, 나중에 연인끼리 와도 추천합니다	0	0
33	4	2022-01-27	운명 탈출!	남자친구가 의지가 되네요.	1341	0
34	1	2021-12-21	원혼의 저주 무섭게 재밌어요!	우리집 인형들이 다 무섭게 느껴지네요..여름에 시원할거 같아요	1880	1
35	10	2022-01-17	위험한 레시피 친구랑	여운이 깊었어요. 추천합니다.	1692	1
36	1	2022-01-31	이층 복도 끝 화장실 후기	아니 우리집 복층인데 계속 생각나서 2층 못 가는 중임..	974	1
37	8	2022-03-08	장미맨숀 가족이랑	부인이랑 오랜만에 데이트 나갔다왔는데,.. 아주 좋아하더군요. 진작 데려다 할 걸 그랬어요	1520	1
38	5	2022-03-31	비밀의 무덤 공포추천	공포 영화 보는 느낌이라 나중에 여름되면 오싹하게 한 번 더 해야겠어요	1416	1
39	1	2021-11-08	지하감옥 공포	공포매니아들 한 번 꼭 가보세요, 추천합니다	1877	1
40	10	2021-12-04	카니발 랜드 유니크해	미션이 특이해서 재밌었어욬ㅋㅋㅋ	164	1
41	7	2022-03-19	타인은 지옥이다	웹툰 아는 사람으로써, 웹툰을 모르는 사람이 더 재밌게 즐길 수 있을 것 같아요.	603	1
42	8	2022-03-30	트러브메이커 열린결말	결말이 찝찝해서.. 열린결말 좋아하시는 분은 좋아하실 것 같아요.	1433	1
43	5	2022-03-06	호구와트 해리포터	이름잌ㅋㅋ 마음에 들어서 가봤는데, 나쁘지 않았어요	0	0
44	1	2022-02-13	히로인 첫 후기	신축건물이라 페인트 냄새가 조금 나긴하는데, 깨끗해서 좋았어요	0	0
45	5	2022-02-15	제시의 시크릿 바비	우리가 알던 바비가 아닙니다.	278	1
46	6	2022-03-14	에로스의 초대 가족과 함께	울 딸램 너무 재밌게 봐서 나중에 조카랑 또 델려와야야겠어요	1714	1
47	6	2021-11-01	올림푸스의 초대 공부	그리스로마 신화랑 겹치는 부분이 많아서 나중에 친구애기들이랑 같이 갈려구요~^^	549	1
48	6	2022-04-02	백설공주의 비밀 디즈니	디즈니 풍 스러워서 좋았어요~	518	1
49	8	2022-03-13	러브클리닉 평점 추천	평점 보고 갔는데, 딱 평점 정도였어요!	161	1
50	4	2022-02-07	아나스타샤 애들과 함께	울 애들이랑 다 같이 갔는데~~ 나중에 가족끼리 가는것도 추천해요...^^	1517	1
51	7	2022-01-06	카마수트라 후기	친구랑 다 같이 갔는데, 나중에 또 가고 싶어요	1490	1
52	6	2022-02-04	폐쇄병동 후기	룸카페는 좋았는데 나중엔 저녁에 와야겠어요	1470	1
53	3	2022-01-03	그녀를 찾아서 추천	아빠와 데이트. 귀여운 우리아빠입니다. 나보다 겁이 더 많으세요.	205	1
54	8	2021-11-12	타워링 후기	무섭고 흥미진지합니다. 추천합니다.	609	1
55	9	2021-11-27	파라오의 심판 추천	역사 공부도 되고 좋았어요	0	0
56	3	2021-12-09	이터널 산샤인 재밌어	즐겨보던 드라마랑 이름이 비슷해서 갔는데, 생각보다 재밌어서 방탈출 자주 갈 것 같아요~	1809	1
57	1	2021-12-15	안개꽃 어려운 편..	제한시간에 다 못 끝내서 아쉬웠어요	560	1
58	9	2022-03-15	소원을 말해봐	알라딘의 램프가 소원을 들어줄거 같아요.	0	0
