r_no	u_no	c_no	t_no	r_date	r_time	r_people	r_attend
1	19	C-010	26	2022-01-28	11:00	1	1
2	23	B-014	7	2022-01-28	12:00	3	0
3	29	L-010	32	2022-01-28	13:00	1	1
4	27	S-004	29	2022-01-28	14:00	6	0
5	19	L-012	25	2022-01-28	15:30	2	0
6	12	V-023	34	2022-01-28	15:30	1	1
7	6	A-026	30	2022-01-28	17:00	3	1
8	33	C-027	35	2022-01-28	18:00	1	0
9	40	Z-009	30	2022-01-28	19:00	3	0
10	4	A-005	35	2022-01-29	10:00	1	0
11	42	C-015	26	2022-01-29	13:00	2	0
12	34	L-026	2	2022-01-29	14:30	3	1
13	36	L-024	27	2022-01-29	15:00	1	1
14	22	M-010	32	2022-01-29	17:00	1	0
15	12	C-012	43	2022-01-29	17:30	2	1
16	1	G-013	25	2022-01-29	17:30	2	1
17	23	M-003	4	2022-01-29	17:30	1	1
18	5	L-003	30	2022-01-30	10:00	2	1
19	32	V-004	33	2022-01-30	13:00	1	0
20	6	L-004	48	2022-01-30	15:30	1	1
21	1	L-003	25	2022-01-30	16:00	2	0
22	7	A-012	5	2022-01-30	16:30	2	1
23	13	T-011	44	2022-01-30	18:00	3	1
24	28	L-004	46	2022-01-30	20:00	1	1
25	12	B-024	13	2022-01-31	12:00	2	1
26	2	N-016	15	2022-01-31	13:00	2	0
27	40	M-024	9	2022-01-31	13:30	3	1
28	21	C-023	37	2022-01-31	16:00	1	1
29	2	A-016	42	2022-01-31	16:30	3	0
30	17	Z-001	38	2022-01-31	18:30	2	0
31	6	L-016	19	2022-01-31	19:00	2	1
32	21	S-013	43	2022-01-31	20:00	2	1
33	15	V-018	15	2022-01-31	20:30	3	1
34	14	V-004	42	2022-02-01	11:00	1	1
35	43	N-025	25	2022-02-01	12:00	2	0
36	6	C-027	5	2022-02-01	14:30	1	0
37	27	M-012	30	2022-02-01	16:00	5	1
38	37	P-021	22	2022-02-01	16:00	1	0
39	32	S-016	27	2022-02-01	16:00	1	1
40	3	B-009	7	2022-02-01	16:30	3	0
41	20	P-018	39	2022-02-01	18:00	1	0
42	13	N-008	37	2022-02-01	18:30	1	1
43	15	V-011	37	2022-02-01	19:00	1	1
44	40	S-005	15	2022-02-02	13:00	1	0
45	11	A-001	5	2022-02-02	13:30	2	0
46	38	L-010	9	2022-02-02	16:00	3	1
47	4	P-025	22	2022-02-02	16:00	2	0
48	16	T-015	28	2022-02-02	17:30	1	1
49	2	C-017	2	2022-02-02	19:30	3	1
50	36	V-023	35	2022-02-02	19:30	1	0
51	29	G-014	14	2022-02-03	12:00	4	0
52	25	B-003	34	2022-02-03	15:30	1	1
53	36	M-002	26	2022-02-03	16:30	4	1
54	2	G-023	40	2022-02-03	18:00	1	1
55	15	N-013	41	2022-02-03	18:00	1	1
56	39	V-023	46	2022-02-03	19:00	1	0
57	19	S-007	13	2022-02-03	19:30	2	1
58	40	L-020	42	2022-02-03	20:00	3	1
59	37	B-023	47	2022-02-04	10:00	1	0
60	30	Z-015	40	2022-02-04	10:30	1	0
61	13	Z-003	38	2022-02-04	12:00	1	0
62	34	A-017	24	2022-02-04	13:00	3	1
63	1	G-015	3	2022-02-04	13:00	2	0
64	34	C-016	43	2022-02-04	13:30	2	1
65	43	N-014	14	2022-02-04	16:00	1	0
66	41	N-023	2	2022-02-04	17:00	2	1
67	9	A-014	43	2022-02-04	18:30	2	0
68	12	P-008	18	2022-02-04	18:30	2	1
69	5	Z-020	10	2022-02-04	18:30	1	0
70	38	T-014	12	2022-02-04	19:00	3	1
71	31	L-014	7	2022-02-04	19:30	2	1
72	25	T-007	31	2022-02-04	19:30	5	0
73	14	N-012	23	2022-02-04	20:00	2	1
74	16	G-007	8	2022-02-05	10:00	3	0
75	23	P-005	36	2022-02-05	11:00	1	0
76	17	S-002	29	2022-02-05	11:00	1	1
77	22	A-019	39	2022-02-05	12:00	2	1
78	20	V-020	19	2022-02-05	12:00	1	0
79	22	P-005	19	2022-02-05	12:30	1	0
80	21	B-011	16	2022-02-05	14:00	3	0
81	43	A-005	7	2022-02-05	15:30	3	0
82	4	M-010	41	2022-02-05	16:00	1	0
83	9	C-007	10	2022-02-05	16:30	1	1
84	31	M-025	44	2022-02-05	16:30	1	1
85	14	S-003	8	2022-02-05	17:30	2	1
86	13	S-008	45	2022-02-05	18:00	2	1
87	27	P-021	13	2022-02-05	20:00	2	1
88	18	N-006	30	2022-02-05	20:30	1	1
89	44	P-025	25	2022-02-05	21:00	2	1
90	44	C-009	33	2022-02-06	10:00	2	0
91	20	S-004	3	2022-02-06	10:30	2	1
92	1	V-024	46	2022-02-06	11:00	1	1
93	2	T-012	20	2022-02-06	13:00	4	1
94	35	V-020	26	2022-02-06	13:00	3	0
95	20	V-026	10	2022-02-06	14:00	1	0
96	19	A-023	38	2022-02-06	16:00	2	0
97	1	A-001	30	2022-02-06	17:00	4	1
98	32	B-022	29	2022-02-06	18:00	2	0
99	12	L-024	44	2022-02-06	18:00	1	0
100	16	B-022	29	2022-02-06	18:30	1	1
101	43	M-004	10	2022-02-06	18:30	2	0
102	2	A-012	40	2022-02-06	19:30	1	1
103	37	G-010	26	2022-02-06	19:30	2	0
104	20	N-023	19	2022-02-06	21:00	2	1
105	24	V-014	20	2022-02-06	21:00	2	1
106	30	L-022	34	2022-02-07	10:00	2	1
107	28	N-010	31	2022-02-07	13:00	4	1
108	11	S-005	33	2022-02-07	15:00	2	0
109	38	E-008	35	2022-02-07	16:00	1	0
110	18	V-022	4	2022-02-07	17:30	1	1
111	25	Z-004	19	2022-02-07	18:00	2	1
112	9	M-005	30	2022-02-07	18:30	1	0
113	39	N-005	21	2022-02-07	20:30	1	1
114	43	P-018	16	2022-02-08	11:30	1	0
115	19	A-020	42	2022-02-08	12:30	1	1
116	39	G-011	5	2022-02-08	14:00	1	0
117	12	L-004	41	2022-02-08	14:30	1	0
118	34	S-022	39	2022-02-08	17:00	3	1
119	1	S-001	17	2022-02-09	10:00	1	1
120	13	N-023	21	2022-02-09	10:30	1	0
121	6	L-009	47	2022-02-09	11:30	2	1
122	2	C-013	43	2022-02-09	15:30	2	0
123	43	M-010	6	2022-02-09	16:30	1	0
124	38	A-027	30	2022-02-09	17:00	2	0
125	11	S-004	20	2022-02-09	18:30	2	1
126	10	G-020	45	2022-02-09	19:00	2	0
127	25	P-011	31	2022-02-10	11:30	1	1
128	3	C-021	43	2022-02-10	12:30	1	1
129	22	Z-017	4	2022-02-10	13:00	1	0
130	19	G-011	24	2022-02-10	15:30	2	1
131	42	B-020	4	2022-02-10	17:00	1	0
132	9	Z-026	46	2022-02-10	17:30	1	1
133	20	A-009	48	2022-02-10	18:30	2	1
134	20	P-007	37	2022-02-10	19:00	1	0
135	9	L-004	18	2022-02-10	20:00	4	0
136	35	V-002	21	2022-02-10	20:00	1	1
137	6	M-020	2	2022-02-10	20:30	1	1
138	12	P-021	47	2022-02-10	21:00	2	0
139	15	P-022	19	2022-02-11	10:00	2	0
140	23	Z-022	32	2022-02-11	10:00	1	1
141	6	A-001	6	2022-02-11	10:30	3	0
142	15	N-001	48	2022-02-11	12:00	2	0
143	21	A-010	46	2022-02-11	13:30	1	1
144	7	C-007	7	2022-02-11	14:30	3	0
145	16	L-016	33	2022-02-11	15:00	2	0
146	16	M-018	21	2022-02-11	15:00	1	0
147	41	Z-014	25	2022-02-11	16:00	1	1
148	25	C-018	33	2022-02-11	18:30	4	0
149	12	N-009	21	2022-02-11	18:30	1	1
150	13	T-012	26	2022-02-11	19:30	1	1
151	30	V-019	42	2022-02-11	20:30	3	0
152	15	M-002	35	2022-02-12	10:00	1	1
153	20	T-002	27	2022-02-12	11:30	1	0
154	43	G-014	19	2022-02-12	12:30	2	0
155	28	M-001	24	2022-02-12	14:00	1	0
156	35	S-013	30	2022-02-12	14:00	1	1
157	10	B-019	22	2022-02-12	17:30	2	0
158	19	M-005	34	2022-02-12	17:30	1	0
159	20	C-018	40	2022-02-12	19:30	1	1
160	31	N-016	20	2022-02-12	21:00	4	0
161	37	Z-009	15	2022-02-13	10:30	3	1
162	19	P-022	38	2022-02-13	11:00	2	1
163	28	T-015	6	2022-02-13	11:00	3	1
164	10	T-011	16	2022-02-13	12:00	1	1
165	1	Z-001	26	2022-02-13	12:00	1	0
166	6	B-012	10	2022-02-13	12:30	1	1
167	21	N-019	47	2022-02-13	12:30	3	0
168	31	L-021	22	2022-02-13	14:30	1	1
169	22	L-012	17	2022-02-13	15:00	1	1
170	15	T-001	28	2022-02-13	15:00	2	0
171	33	S-017	2	2022-02-13	16:30	3	1
172	27	B-005	25	2022-02-13	17:00	2	0
173	5	V-025	11	2022-02-13	18:00	4	0
174	36	L-002	47	2022-02-13	20:30	6	1
175	1	S-003	18	2022-02-14	10:00	2	0
176	31	M-026	6	2022-02-14	11:00	1	0
177	28	N-013	44	2022-02-14	11:00	5	1
178	19	L-004	48	2022-02-14	11:30	1	1
179	1	L-013	3	2022-02-14	12:30	2	0
180	27	P-006	18	2022-02-14	12:30	3	0
181	43	S-015	6	2022-02-14	13:00	3	1
182	10	G-017	23	2022-02-14	15:00	1	0
183	14	T-025	17	2022-02-14	16:00	1	1
184	43	N-002	48	2022-02-14	17:00	1	1
185	22	B-002	6	2022-02-14	18:00	1	1
186	31	E-005	25	2022-02-14	19:30	1	0
187	24	T-025	43	2022-02-14	19:30	2	1
188	27	B-018	16	2022-02-14	20:30	1	0
189	7	M-022	7	2022-02-15	12:30	2	0
190	10	N-008	48	2022-02-15	14:30	2	1
191	41	V-007	35	2022-02-15	14:30	1	0
192	13	G-016	25	2022-02-15	16:30	2	1
193	1	M-018	44	2022-02-15	21:00	2	1
194	9	V-023	46	2022-02-15	21:00	1	0
195	15	S-020	33	2022-02-16	10:00	2	0
196	31	B-019	1	2022-02-16	11:00	2	1
197	31	G-013	23	2022-02-16	12:00	1	0
198	19	M-022	24	2022-02-16	12:30	4	0
199	25	L-015	42	2022-02-16	14:00	2	1
200	4	N-009	34	2022-02-16	14:00	2	0
201	21	S-004	16	2022-02-16	14:00	2	0
202	41	S-015	40	2022-02-16	14:00	1	1
203	7	Z-009	4	2022-02-16	14:00	1	0
204	42	S-016	10	2022-02-16	16:00	2	1
205	5	S-015	43	2022-02-16	20:30	2	0
206	43	T-006	6	2022-02-17	10:00	1	1
207	34	P-023	33	2022-02-17	10:30	2	1
208	38	Z-009	35	2022-02-17	10:30	1	0
209	21	C-020	5	2022-02-17	11:00	2	0
210	11	V-019	21	2022-02-17	12:00	1	0
211	31	N-008	38	2022-02-17	12:30	2	0
212	44	M-013	10	2022-02-17	13:00	2	1
213	31	A-020	11	2022-02-17	13:30	1	0
214	4	A-026	25	2022-02-17	14:00	1	1
215	36	E-001	44	2022-02-17	14:00	6	1
216	8	C-016	44	2022-02-17	15:00	2	0
217	28	Z-023	42	2022-02-17	15:00	2	1
218	13	Z-025	35	2022-02-17	15:00	1	0
219	33	B-022	6	2022-02-17	15:30	3	1
220	20	G-013	15	2022-02-17	15:30	2	0
221	6	T-024	17	2022-02-17	15:30	1	0
222	4	B-008	30	2022-02-17	16:00	1	1
223	31	Z-011	20	2022-02-17	17:00	2	1
224	41	S-016	26	2022-02-17	17:30	1	1
225	37	N-016	32	2022-02-17	18:00	1	0
226	8	L-020	19	2022-02-17	19:30	2	0
227	27	Z-010	34	2022-02-17	19:30	2	0
228	16	A-017	6	2022-02-17	20:00	1	1
229	38	P-010	17	2022-02-17	20:00	1	0
230	2	L-007	47	2022-02-18	12:30	1	1
231	32	M-013	27	2022-02-18	13:30	1	1
232	23	N-009	16	2022-02-18	14:00	1	0
233	42	L-022	48	2022-02-19	10:30	2	1
234	13	P-013	17	2022-02-19	11:00	1	0
235	35	Z-001	36	2022-02-19	11:30	1	1
236	2	C-026	17	2022-02-19	12:00	1	1
237	34	V-010	12	2022-02-19	12:30	2	0
238	7	P-003	47	2022-02-19	13:30	1	0
239	42	G-006	24	2022-02-19	16:30	2	0
240	35	G-005	21	2022-02-19	17:00	1	0
241	36	B-002	4	2022-02-19	18:30	1	1
242	4	M-012	11	2022-02-19	18:30	5	1
243	14	N-009	42	2022-02-19	18:30	2	0
244	37	N-007	18	2022-02-19	19:00	1	1
245	29	C-017	3	2022-02-19	20:00	1	1
246	35	T-022	46	2022-02-20	10:30	1	1
247	1	G-003	25	2022-02-20	11:30	2	1
248	4	G-012	2	2022-02-20	13:00	3	0
249	20	P-016	43	2022-02-20	14:00	2	1
250	14	N-027	44	2022-02-20	14:30	4	0
251	39	T-009	9	2022-02-20	14:30	4	0
252	22	E-008	44	2022-02-20	15:00	2	1
253	33	N-011	16	2022-02-20	15:00	2	0
254	8	A-010	1	2022-02-20	15:30	2	0
255	22	P-024	15	2022-02-20	17:00	3	1
256	15	A-004	43	2022-02-20	17:30	2	0
257	8	S-026	27	2022-02-20	18:30	1	0
258	41	M-008	45	2022-02-20	19:00	2	1
259	35	N-015	25	2022-02-20	19:30	2	1
260	44	Z-001	6	2022-02-20	20:30	1	0
261	22	P-016	37	2022-02-21	11:00	1	1
262	27	P-001	16	2022-02-21	14:00	1	0
263	10	B-006	10	2022-02-21	15:00	1	0
264	21	N-002	37	2022-02-21	15:00	1	1
265	23	N-008	20	2022-02-21	15:00	2	0
266	35	P-012	17	2022-02-21	17:00	1	0
267	20	C-022	5	2022-02-21	17:30	2	0
268	8	G-017	17	2022-02-21	17:30	1	1
269	24	M-009	36	2022-02-21	18:00	1	1
270	24	P-010	33	2022-02-21	18:00	2	0
271	20	B-024	22	2022-02-22	11:30	2	0
272	41	B-026	22	2022-02-22	15:30	4	1
273	15	B-004	38	2022-02-22	16:00	3	0
274	21	G-011	23	2022-02-22	16:00	1	1
275	42	S-021	34	2022-02-22	16:30	1	1
276	27	L-004	46	2022-02-22	18:30	1	1
277	38	M-020	41	2022-02-22	18:30	1	0
278	30	T-010	45	2022-02-22	18:30	1	0
279	8	G-008	25	2022-02-22	19:00	1	0
280	33	V-006	18	2022-02-22	19:00	1	1
281	16	C-002	31	2022-02-23	10:00	2	0
282	42	M-014	27	2022-02-23	13:00	1	1
283	36	Z-015	44	2022-02-23	13:00	1	1
284	9	N-007	33	2022-02-23	15:00	1	0
285	8	T-016	32	2022-02-23	15:00	1	1
286	10	G-009	16	2022-02-23	15:30	3	1
287	36	Z-015	40	2022-02-23	18:00	1	0
288	41	P-016	46	2022-02-23	19:00	1	1
289	39	A-007	40	2022-02-23	20:00	1	1
290	44	G-017	13	2022-02-23	21:00	2	1
291	4	T-011	24	2022-02-23	21:00	2	0
292	6	V-007	19	2022-02-24	11:00	2	1
293	33	G-012	18	2022-02-24	16:00	1	0
294	44	N-025	27	2022-02-24	16:00	1	0
295	16	C-010	3	2022-02-24	19:30	2	1
296	42	L-018	33	2022-02-24	20:00	4	0
297	32	S-023	45	2022-02-25	10:30	2	1
298	7	B-016	46	2022-02-25	12:30	1	0
299	9	C-013	5	2022-02-25	12:30	2	1
300	42	E-006	22	2022-02-25	13:30	3	0
301	1	N-011	6	2022-02-25	13:30	1	0
302	7	C-024	45	2022-02-25	14:30	3	1
303	37	G-020	36	2022-02-25	15:30	1	0
304	31	C-008	45	2022-02-25	16:00	1	1
305	39	T-011	30	2022-02-25	16:00	2	1
306	42	S-015	36	2022-02-25	17:30	1	0
307	41	L-009	45	2022-02-25	18:00	6	1
308	38	G-003	32	2022-02-25	18:30	1	1
309	38	V-016	21	2022-02-25	20:00	1	0
310	12	P-025	8	2022-02-25	20:30	1	0
311	31	A-006	15	2022-02-26	11:00	4	1
312	41	M-016	14	2022-02-26	11:30	2	1
313	12	S-006	25	2022-02-26	11:30	2	0
314	5	V-018	3	2022-02-26	12:00	2	0
315	14	A-026	29	2022-02-26	13:00	2	1
316	17	S-019	34	2022-02-26	13:30	2	0
317	42	L-012	41	2022-02-26	14:30	1	0
318	38	N-007	38	2022-02-26	15:30	3	0
319	5	T-025	1	2022-02-26	15:30	1	0
320	17	Z-020	39	2022-02-26	16:30	1	0
321	36	B-006	22	2022-02-26	18:00	3	1
322	32	B-008	26	2022-02-26	20:00	3	1
323	27	S-012	48	2022-02-26	21:00	2	0
324	18	E-006	33	2022-02-27	12:00	1	1
325	33	M-018	24	2022-02-27	15:00	4	0
326	17	S-001	47	2022-02-27	15:00	1	1
327	13	M-019	27	2022-02-27	15:30	1	0
328	15	P-021	14	2022-02-27	15:30	1	0
329	3	S-002	21	2022-02-27	15:30	1	0
330	37	V-011	10	2022-02-27	16:00	2	1
331	42	A-004	21	2022-02-27	16:30	1	0
332	41	Z-006	16	2022-02-27	16:30	2	1
333	11	E-003	38	2022-02-27	17:30	2	1
334	28	C-005	22	2022-02-27	18:30	4	0
335	9	S-014	27	2022-02-27	20:00	1	1
336	33	A-011	29	2022-02-28	10:30	3	1
337	44	Z-019	39	2022-02-28	11:00	1	0
338	4	N-009	35	2022-02-28	12:00	1	1
339	8	S-014	7	2022-02-28	12:00	1	1
340	6	T-013	47	2022-02-28	12:00	2	0
341	26	M-009	39	2022-02-28	13:00	2	1
342	30	N-015	34	2022-02-28	14:00	2	0
343	35	N-013	3	2022-02-28	14:30	2	0
344	42	V-017	10	2022-02-28	15:00	2	0
345	41	Z-013	35	2022-02-28	15:00	1	0
346	16	Z-026	29	2022-02-28	15:00	6	1
347	29	G-015	37	2022-02-28	15:30	1	1
348	24	S-015	42	2022-02-28	15:30	2	1
349	41	A-018	25	2022-02-28	16:00	2	1
350	24	N-027	26	2022-02-28	16:00	1	0
351	27	V-013	38	2022-02-28	17:00	2	0
352	33	N-023	23	2022-02-28	19:00	3	0
353	43	S-020	6	2022-02-28	19:30	2	1
354	1	V-016	14	2022-02-28	19:30	2	0
355	10	A-007	17	2022-02-28	20:00	1	0
356	1	S-001	4	2022-02-28	21:00	1	0
357	36	B-020	15	2022-03-01	12:00	1	0
358	40	S-016	23	2022-03-01	12:00	1	1
359	15	A-005	8	2022-03-01	16:00	1	1
360	29	V-021	28	2022-03-01	20:30	1	1
361	29	G-020	13	2022-03-02	12:30	1	0
362	17	V-020	30	2022-03-02	12:30	5	1
363	42	L-023	32	2022-03-02	13:00	1	1
364	41	P-023	14	2022-03-02	14:00	2	0
365	2	P-020	33	2022-03-02	15:00	1	1
366	29	G-007	27	2022-03-02	17:00	1	0
367	14	T-003	45	2022-03-02	17:30	1	0
368	24	Z-001	44	2022-03-02	18:30	6	0
369	41	T-009	48	2022-03-02	19:00	1	1
370	29	G-001	20	2022-03-02	19:30	4	1
371	9	M-016	17	2022-03-02	20:30	1	1
372	8	P-010	27	2022-03-03	11:00	1	0
373	12	S-002	21	2022-03-03	11:30	1	1
374	31	T-008	32	2022-03-03	11:30	1	1
375	44	M-020	1	2022-03-03	14:00	2	0
376	11	B-024	31	2022-03-03	15:30	2	0
377	39	B-020	38	2022-03-03	16:30	1	1
378	24	T-019	42	2022-03-03	17:30	3	1
379	2	V-012	41	2022-03-03	17:30	1	1
380	23	B-010	39	2022-03-03	18:30	2	0
381	29	V-020	44	2022-03-03	18:30	1	1
382	1	G-010	45	2022-03-03	20:30	2	1
383	15	V-010	32	2022-03-04	10:00	1	0
384	39	N-024	40	2022-03-04	11:00	1	0
385	24	S-004	15	2022-03-04	11:30	5	0
386	7	B-006	39	2022-03-04	14:00	3	1
387	13	N-009	3	2022-03-04	14:30	2	0
388	12	N-019	23	2022-03-04	15:00	2	1
389	6	S-009	23	2022-03-04	16:30	2	1
390	25	S-007	38	2022-03-04	17:30	3	1
391	24	V-017	38	2022-03-04	18:00	1	1
392	31	Z-022	17	2022-03-04	18:30	1	1
393	9	V-006	9	2022-03-04	19:30	1	1
394	9	S-024	12	2022-03-04	20:00	1	0
395	11	P-021	28	2022-03-05	10:00	2	0
396	3	V-017	4	2022-03-05	10:00	1	1
397	42	G-004	29	2022-03-05	11:30	1	1
398	5	Z-012	5	2022-03-05	12:00	2	0
399	18	C-020	18	2022-03-05	13:00	1	0
400	44	B-007	42	2022-03-05	13:30	3	1
401	4	T-025	16	2022-03-05	13:30	3	0
402	42	S-022	28	2022-03-05	15:00	1	1
403	38	Z-008	18	2022-03-05	18:00	1	0
404	18	P-014	11	2022-03-05	20:00	2	1
405	32	C-009	8	2022-03-05	21:00	6	1
406	43	N-008	42	2022-03-06	10:00	1	0
407	31	T-017	34	2022-03-06	10:30	2	1
408	40	A-010	44	2022-03-06	11:00	2	0
409	17	V-021	7	2022-03-06	11:00	2	0
410	14	T-017	23	2022-03-06	11:30	1	1
411	42	B-013	8	2022-03-06	16:00	1	0
412	31	N-017	33	2022-03-06	17:00	1	1
413	13	L-018	36	2022-03-06	17:30	1	1
414	42	T-009	17	2022-03-06	17:30	1	0
415	4	S-018	4	2022-03-06	19:00	1	1
416	16	S-021	31	2022-03-07	11:00	1	0
417	17	Z-020	18	2022-03-07	12:30	2	1
418	26	B-012	27	2022-03-07	14:00	1	0
419	40	Z-001	39	2022-03-07	14:30	4	1
420	13	V-023	36	2022-03-07	15:00	1	1
421	10	C-003	43	2022-03-07	16:30	1	1
422	24	A-028	11	2022-03-07	17:00	2	0
423	2	B-007	18	2022-03-07	17:00	3	0
424	17	P-007	17	2022-03-07	18:00	1	0
425	29	E-006	44	2022-03-07	19:30	3	1
426	19	B-012	31	2022-03-07	20:00	1	0
427	27	C-002	13	2022-03-07	20:00	1	1
428	33	Z-014	19	2022-03-08	10:30	1	1
429	31	C-010	31	2022-03-08	13:30	1	0
430	13	V-025	28	2022-03-08	15:30	1	1
431	22	C-025	16	2022-03-08	16:30	1	0
432	21	C-007	43	2022-03-08	17:30	1	0
433	19	V-007	10	2022-03-08	17:30	2	0
434	10	B-017	38	2022-03-08	20:00	1	1
435	4	L-013	15	2022-03-09	10:30	2	0
436	16	L-018	25	2022-03-09	10:30	2	0
437	13	C-021	41	2022-03-09	13:30	1	0
438	24	G-020	4	2022-03-09	14:00	1	0
439	20	C-008	9	2022-03-09	15:30	1	0
440	31	B-019	29	2022-03-09	17:00	2	0
441	31	A-006	30	2022-03-09	17:30	1	1
442	3	A-011	18	2022-03-09	18:00	2	0
443	5	S-004	46	2022-03-09	18:30	1	1
444	33	P-019	18	2022-03-09	20:30	1	1
445	30	Z-020	38	2022-03-10	11:00	1	1
446	12	A-023	26	2022-03-10	14:00	2	1
447	11	Z-017	24	2022-03-10	15:00	1	1
448	23	P-004	32	2022-03-10	15:30	1	1
449	42	V-006	13	2022-03-10	16:00	1	1
450	36	Z-017	26	2022-03-10	16:00	1	1
451	41	L-006	13	2022-03-10	17:00	2	1
452	34	G-002	6	2022-03-10	20:30	2	1
453	22	G-001	42	2022-03-10	21:00	3	0
454	19	V-025	36	2022-03-10	21:00	1	1
455	21	C-012	14	2022-03-11	10:00	4	0
456	29	A-011	37	2022-03-11	11:00	1	1
457	17	B-011	10	2022-03-11	12:00	1	0
458	4	P-005	26	2022-03-11	12:00	3	0
