a_no	e_no	u_no	a_apply
1	1	7	1
2	1	12	1
3	1	14	2
4	1	17	0
5	1	20	1
6	2	1	2
7	2	5	1
8	2	9	2
9	2	19	2
10	2	20	1
11	3	8	0
12	3	13	2
13	3	15	0
14	4	1	0
15	4	5	2
16	4	9	0
17	4	19	0
18	4	20	0
19	5	8	2
20	5	13	1
21	5	15	0
22	6	1	1
23	6	4	1
24	6	7	2
25	6	9	0
26	6	12	2
27	6	14	1
28	6	17	0
29	6	18	0
30	6	20	1
31	7	7	0
32	7	8	0
33	7	12	1
34	7	13	1
35	7	14	0
36	7	15	2
37	7	17	0
38	8	3	1
39	8	5	2
40	8	6	1
41	8	8	0
42	8	11	1
43	8	15	0
44	8	16	1
45	8	19	1
46	9	1	1
47	9	5	1
48	9	9	0
49	9	19	1
50	9	20	0
51	10	8	1
52	10	13	0
53	10	15	1
54	11	1	1
55	11	3	1
56	11	4	1
57	11	5	1
58	11	6	1
59	11	7	1
60	11	8	1
61	11	10	1
62	11	11	1
63	11	12	2
64	11	13	0
65	11	14	0
66	11	16	2
67	11	17	0
68	11	18	2
69	11	19	1
70	11	20	1
71	12	4	2
72	12	18	1
73	13	1	1
74	13	5	1
75	13	10	2
76	13	19	1
77	13	20	0
78	14	5	1
79	14	19	1
80	15	3	1
81	15	4	2
82	15	6	1
83	15	11	0
84	15	16	0
85	15	18	1
86	16	2	1
87	16	5	1
88	16	10	1
89	16	19	2
90	16	20	1
91	17	2	0
92	17	5	1
93	17	6	0
94	17	10	0
95	17	19	0
96	17	20	2
97	18	3	1
98	18	5	2
99	18	6	1
100	18	8	0
101	18	11	1
102	18	15	0
103	18	16	2
104	18	19	1
105	19	19	0
106	20	3	0
107	20	4	0
108	20	11	2
109	20	16	2
110	20	18	0
